#{"t_start": 1775318454.5790184, "env_id": null}
r,l,t
-9.707345,43,1790.056146
-7.708222,21,1796.812315
-12.66069,21,1804.326718
-18.234065,21,1810.94389
9.990861,21,1816.494129
-7.00118,21,1821.731745
-16.144157,21,1838.990116
-4.038028,21,1844.390533
-11.311191,21,1851.237065
-12.08735,41,1858.566891
3.35897,21,1864.076657
-8.086256,21,1870.630304
-0.494643,41,1878.489276
-19.945791,21,1885.850496
-6.231138,21,1891.17546
-9.657447,21,1898.506444
-5.135664,21,1903.960106
-13.820102,21,1911.46406
-15.704952,21,1918.785744
-6.802956,21,1925.884097
-0.425418,21,1931.319128
-8.410414,21,1936.82241
-4.98681,21,1943.884965
-0.41713,21,1949.47412
-5.750106,21,1954.821542
-8.640939,21,1961.434482
-14.571622,21,1969.029357
-9.362974,21,1975.542056
-0.095935,21,1981.75668
-11.37472,21,2002.787332
6.959686,41,2011.242297
-2.824437,35,2016.034564
-17.867447,21,2024.132069
-7.41866,21,2031.652983
-4.978641,21,2037.795819
-14.978104,21,2043.454572
-6.734256,21,2048.958876
-9.214232,21,2055.853961
-6.51065,21,2062.169326
-15.154797,21,2069.270951
-9.803522,21,2075.271359
-8.795653,21,2082.446686
-18.543737,21,2089.159229
7.9849,29,2094.812995
-18.849226,21,2101.489624
-20.853906,21,2108.413965
-12.044802,21,2115.413355
-8.385875,21,2121.453151
-15.342531,21,2128.311947
-5.882737,21,2133.86232
-14.580716,37,2147.494444
-10.247302,21,2154.912549
-5.089445,21,2163.166779
-7.626224,21,2168.746556
-16.257518,21,2175.942828
-17.081218,21,2182.629521
-6.896924,21,2188.550713
-12.053015,61,2197.907553
-10.612371,21,2204.929994
-2.960059,21,2211.96816
-10.79195,41,2218.772499
0.157328,41,2226.177966
-2.789018,21,2233.064888
-8.965068,41,2240.982863
-18.777045,21,2248.251996
-3.937038,21,2254.784365
-18.761727,21,2261.869342
-19.339484,75,2282.560338
-17.077462,21,2289.285829
-9.944529,41,2296.903545
-0.308602,41,2305.237525
-6.472195,23,2310.152069
-0.367877,29,2315.210371
-9.217198,21,2320.605361
-5.935664,21,2327.52724
5.716779,61,2337.263837
-11.115664,21,2343.997009
-11.75215,21,2352.544175
-15.875526,21,2359.67237
-4.484489,21,2366.530975
-5.230029,21,2371.668749
-7.150382,41,2379.397883
-4.694439,21,2386.432913
-8.099742,21,2392.386673
-14.412324,21,2398.543411
2.36689,41,2406.37861
-18.691249,21,2424.567457
-1.373439,21,2430.167041
-6.383327,21,2437.388393
-44.30713,81,2449.573917
-6.754947,21,2455.241987
-9.489431,21,2460.860142
-18.83212,21,2468.346511
-17.033962,21,2475.343658
-7.964619,21,2481.908117
2.022502,21,2487.197563
-7.220427,41,2493.118325
-16.600081,21,2499.138301
-17.613891,21,2506.48386
-8.220745,21,2513.099434
-11.342618,21,2518.773526
-10.817098,21,2525.996383
-14.159914,21,2532.214367
3.529094,41,2541.421031
-9.248335,21,2547.798378
-12.38839,21,2569.958322
6.782999,21,2575.563625
-13.963588,21,2582.369989
-17.317075,41,2590.550322
-13.666763,21,2598.039442
-16.656592,21,2604.458913
-2.762222,21,2611.945438
3.60871,21,2617.533284
-13.067829,21,2624.475533
-6.783502,21,2630.496433
-15.210351,21,2636.744209
0.396452,39,2643.76581
-6.173013,25,2648.728045
-5.608564,47,2656.347223
11.606272,41,2663.483808
-12.839174,21,2670.181397
-15.758844,21,2677.714041
-9.86398,21,2684.296959
0.323433,21,2690.50208
-11.739086,21,2697.480815
7.553379,61,2716.361403
-5.659487,21,2722.125676
-15.281268,21,2728.704206
-11.115966,21,2736.480304
-9.24416,21,2743.181087
-8.088381,21,2748.709121
-6.387462,21,2756.039349
-14.474599,21,2761.345703
1.87739,31,2766.34791
-7.352081,21,2773.738363
-0.023429,31,2778.411119
-6.335706,21,2784.302557
-11.517381,21,2791.227515
-17.868775,57,2798.959267
-14.429589,21,2805.161076
-4.708109,21,2810.998287
0.080742,21,2816.222594
1.229227,21,2821.803492
-0.692723,21,2827.365366
-13.97854,39,2853.41058
-3.77721,21,2858.35545
-1.024934,21,2864.047637
0.6871,41,2872.615474
-6.515687,21,2878.806092
-14.187551,21,2886.017064
-5.85833,21,2892.637994
-18.394907,21,2900.071977
-2.113396,21,2906.893295
-16.450418,21,2913.519536
-2.679542,21,2920.251745
-8.515198,21,2927.127599
-4.113415,21,2932.631939
-5.215631,37,2938.728386
6.447236,21,2944.98641
-3.50185,21,2951.930465
-9.555308,21,2958.87534
-9.508242,21,2964.581122
-7.283902,21,2971.441106
-8.738636,21,2978.693603
-4.180521,21,2984.185175
-11.771481,21,2991.041375
-11.722836,21,2998.629088
-17.25231,21,3017.973669
-9.166258,21,3024.795679
-4.405888,21,3031.343429
-13.437452,21,3037.905444
-13.962133,21,3043.588463
-7.02342,21,3050.046839
0.662764,21,3055.979891
-8.536145,21,3063.150784
-3.721321,21,3069.972115
-8.384153,41,3076.900095
2.67401,41,3082.534304
-17.431204,41,3091.65249
-13.28729,21,3098.886807
2.726553,21,3104.353114
-7.545794,21,3110.691355
-5.222355,21,3116.20313
-4.684532,21,3121.884787
-12.58735,41,3130.618232
-11.193423,21,3137.518391
-18.079141,21,3144.362124
-4.29514,21,3151.142694
-9.612947,21,3167.774633
-5.722986,21,3173.63252
-2.410799,21,3181.216741
12.216018,41,3189.441509
-3.463135,21,3195.258166
-13.437669,21,3201.119877
-5.632243,21,3208.408525
-7.778497,21,3215.266392
-13.896697,41,3222.475899
-5.90331,21,3228.11864
-9.346728,21,3236.229455
-10.493631,21,3243.345659
1.294027,21,3248.931803
-14.566119,21,3255.869195
-19.747866,21,3262.74483
-12.283305,21,3270.101993
-9.232546,21,3277.15376
-3.061922,21,3284.131837
-0.93961,21,3291.595505
-7.762796,21,3299.103639
5.758594,41,3306.977928
-14.780072,21,3331.936834
-11.2067,21,3337.851293
4.377355,21,3343.24149
-19.35976,21,3350.755903
-12.012324,21,3358.039732
-12.813009,21,3365.565591
-2.423779,21,3371.127638
-16.853456,21,3378.215431
-0.867068,21,3385.414731
-7.421752,21,3391.164319
-4.555891,21,3397.613934
-3.312157,21,3402.958726
-9.353769,21,3408.316411
-10.26048,21,3415.278674
-1.589244,21,3421.204579
10.01885,41,3428.79544
-14.378782,21,3434.29806
-4.091575,21,3440.458511
-4.524036,21,3445.815088
-10.397887,21,3453.029721
-1.872196,41,3462.592422
-4.032979,21,3468.032425
-11.578362,25,3486.191427
-22.374613,41,3495.236794
-13.168507,41,3502.595628
-0.45105,21,3507.957578
-7.909911,21,3514.648726
-12.20666,21,3521.704216
-0.948635,21,3527.188271
-12.249712,21,3533.095182
-6.197179,21,3539.264415
-7.445691,21,3544.360308
-0.056062,41,3551.84458
-6.123988,21,3557.09706
-10.445646,21,3563.947778
-11.045709,21,3570.67235
-9.906058,21,3577.34876
-9.432561,21,3584.742133
-15.224509,21,3591.812188
-9.933152,21,3598.832695
-9.040792,21,3605.647061
-4.984945,21,3612.188004
-2.665553,21,3617.841199
-13.016523,21,3623.493571
-12.308625,21,3648.904158
-5.096136,21,3654.575183
-7.139362,21,3659.499709
-19.989089,21,3666.504816
-12.450793,21,3672.943643
-20.848381,21,3679.890446
-13.110001,21,3687.015849
-15.7288,21,3693.386582
-12.411946,21,3700.324275
-9.929827,21,3705.694575
-10.582757,21,3711.490253
0.980804,21,3716.951448
-15.610836,21,3723.36899
-2.74636,21,3728.905837
-10.411748,21,3735.067447
-3.987083,21,3740.549021
1.732024,21,3746.44866
5.332945,21,3751.822784
-12.207839,21,3757.332007
-2.80589,21,3762.412146
-2.629519,21,3769.849953
-12.545749,21,3776.756881
0.576594,21,3782.309228
0.718577,21,3788.045202
-17.677567,21,3807.098598
-13.455936,21,3812.709303
-4.854249,21,3817.869107
-8.800913,21,3824.071545
-16.991016,21,3830.374614
-12.667236,21,3836.092733
-5.357777,21,3842.267579
-2.127776,21,3848.119496
-1.334368,21,3853.713058
-14.096812,21,3860.352032
-2.102234,21,3866.627485
-11.60807,21,3873.796454
0.304472,21,3879.637677
2.038205,41,3887.709163
-0.293558,21,3893.36073
-3.296649,21,3898.862036
-12.276206,21,3905.0494
-3.5474,21,3910.472971
-10.702895,21,3915.767969
-8.997476,21,3922.931983
1.908814,21,3928.444872
-10.888927,21,3935.930737
-8.117355,21,3944.147799
-14.997507,21,3952.151016
-35.028778,21,3972.642969
-7.529387,21,3978.339696
-5.640383,21,3984.800457
-21.032937,21,3991.852087
-4.748992,21,3997.041421
-16.073829,21,4004.355956
-13.491707,21,4011.941132
-1.760093,21,4017.549359
-0.940316,21,4023.528653
0.320264,21,4029.014544
-5.097516,21,4035.274355
2.518913,21,4040.749645
-7.275167,21,4046.357555
2.585318,21,4053.695413
-15.927515,21,4060.332571
-8.802049,21,4065.805523
-4.435456,41,4072.702485
-14.751521,21,4079.644588
-18.294848,21,4086.329687
3.427434,39,4093.090923
5.520458,37,4097.843313
-3.082151,25,4115.689705
-5.961773,21,4121.66086
-9.041746,21,4127.424881
-11.684101,21,4133.559292
0.424914,21,4139.349216
-7.305877,41,4145.880195
2.730416,21,4152.377279
-2.955347,41,4158.870509
-8.063539,41,4165.521977
-16.25372,21,4173.077327
-0.542612,21,4181.332469
-4.860209,21,4187.371521
-13.362926,21,4192.99465
3.04893,21,4198.424436
-17.34892,21,4205.611026
-1.028548,21,4212.466423
-3.680716,21,4218.475924
-15.957536,21,4225.906568
-11.513531,21,4233.052386
-1.883217,21,4238.689213
-6.49841,21,4246.082877
-3.345865,21,4251.388843
-22.662796,21,4271.972758
-15.329086,21,4278.531989
0.084125,21,4286.108312
-3.308554,21,4291.015193
-20.965341,21,4297.805212
0.895648,21,4304.617203
-15.719166,21,4312.390333
-3.599484,21,4319.939594
-8.370356,21,4328.941898
0.823674,41,4335.35322
-2.575122,21,4342.328264
-10.154058,21,4348.926633
1.204039,21,4356.081958
-0.127395,21,4361.877029
-3.944448,21,4368.081025
-4.954233,21,4375.07084
-4.715772,21,4380.603399
-2.051549,21,4386.006868
-10.160509,21,4391.486025
-16.934687,21,4398.87095
-11.196549,21,4406.727426
-11.175064,21,4413.800733
-20.204864,21,4422.415136
-15.338362,21,4443.058399
-22.844606,21,4449.178412
-2.502003,21,4456.22336
-20.766422,21,4463.140626
-8.42224,21,4469.67495
-10.476654,21,4476.457066
-2.643726,29,4481.30908
-14.958059,21,4488.577985
-1.423342,41,4495.287321
-5.653307,37,4500.19353
-7.791848,21,4505.457695
-5.359064,21,4511.840478
-5.611238,21,4517.889026
4.934212,41,4525.357215
-8.945263,21,4530.99819
-10.905499,21,4537.545968
-6.832107,21,4543.231563
-14.901586,21,4549.026428
-13.501772,21,4554.35333
-4.804892,21,4560.035908
3.630156,21,4565.696033
-5.415904,21,4571.410043
-23.737533,21,4590.931327
-11.075013,21,4595.904409
-4.563492,21,4603.348502
-18.791877,21,4609.654858
-17.011034,21,4616.913845
-5.252344,37,4621.68841
-7.938748,21,4628.512142
2.256285,21,4633.868067
-6.400747,21,4639.209841
-13.755381,21,4644.92775
-0.073995,21,4650.043269
-18.229797,21,4656.659361
-7.124705,21,4662.628695
2.680276,21,4667.978068
0.631912,21,4673.875401
-2.507414,21,4679.452641
3.564634,21,4684.382354
-12.628519,21,4691.140426
-10.899203,21,4697.875475
7.296961,21,4703.730243
-14.954216,21,4709.657319
4.374376,21,4714.98662
-4.540936,21,4720.447885
-9.310749,21,4746.757485
-14.472687,21,4754.034072
0.386683,21,4759.828801
2.079993,21,4764.812243
-15.074712,21,4771.648786
4.347067,21,4778.451836
0.449461,21,4784.553751
-4.120083,21,4790.722793
-13.237594,21,4798.017244
0.56787,21,4804.037924
-10.146686,21,4811.247562
-16.238861,35,4816.095526
-1.431208,21,4821.193042
-8.205714,21,4828.223366
-12.552099,21,4834.791036
-11.015432,21,4841.37587
1.342742,21,4847.715044
-6.415372,21,4855.104465
-4.912009,21,4862.060222
-4.424466,21,4868.682985
-6.346843,21,4873.812892
-15.999017,21,4879.639976
-1.51082,21,4885.838084
-17.224638,21,4893.478677
